"source_id","publication_year","title","author1","author2","author3","author4","author5","author6","author7","author8","author9","author10","url","citation","source_notes","data_processing_notes","date_entered","entered_by"
44,"1966","Stomach contents of salmonids caught in the Northeastern Pacific Ocean - 1959 & 1960","R. J. LeBrasseur","D. A. Doidge",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LeBrasseur, R.J., Doidge, D.A., 1966. Stomach contents of salmonids caught in the Northeastern Pacific Ocean - 1959 & 1960. Circular, Statistical series, Fisheries Research Board of Canada, Biological Station, Nanaimo, Canada, 21, Vol. 3, 67 pp.",NA,"processed in lab","2019-11-15","Caroline Graham"
45,"1966","Stomach contents of salmonids caught in the Northeastern Pacific Ocean - 1962","R. J. LeBrasseur","D. A. Doidge",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lebrasseur, R.J., Doidge, D.A., 1966. Stomach contents of salmonids caught in the Northeastern Pacific Ocean - 1962. Circular, Statistical series, Fisheries Research Board of Canada, Biological Station, Nanaimo, Canada, 22, Vol. 4, 80 pp.",NA,"processed in lab","2019-11-15","Caroline Graham"
46,"1966","Stomach contents of salmonids caught in the Northeastern Pacific Ocean - 1963 & 1964","R. J. LeBrasseur","D. A. Doidge",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lebrasseur, R.J., Doidge, D.A., 1966. Stomach contents of salmonids caught in the Northeastern Pacific Ocean - 1963 & 1964. Circular, Statistical series, Fisheries Research Board of Canada, Biological Station, Nanaimo, Canada, 23, Vol. 5, 80 pp.",NA,"processed in lab","2019-11-15","Caroline Graham"
47,"1999","Chum salmon feeding habits in relation to growth reduction","Y. Ishida","N. D. Davis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ishida, Y., Davis, N.D., 1999. Chum salmon feeding habits in relation to growth reduction. Salmon Report Series 47, 104-110.","There is some overlap with Ishida and Tadokoro et al. 1996 - that paper includes more species, although a shorter time period. There is some overlap with Davis et al. 2007 as well, however, in Ishida and Davis 1999 the diet data is reported by salmon age and maturity, which is different than the other papers.",NA,"2019-11-15","Caroline Graham"
48,"1999","Trophic relations of juvenile salmon (genus Oncorhynchus) in the Okhotsk Sea and the Pacific waters off the Kuril Islands","R. Tamura","K. Shimazaki","Y. Ueno",NA,NA,NA,NA,NA,NA,NA,NA,"Tamura, R., Shimazaki, K., Ueno, Y., 1999. Trophic relations of juvenile salmon (genus Oncorhynchus) in the Okhotsk Sea and Pacific waters off the Kuril Islands. Salmon Report Series 47, 138-168.",NA,"processed in lab","2019-11-15","Caroline Graham"
49,"1998","Diel migration of zooplankton and feeding behaviour of juvenile chum salmon in the Central Pacific coast of Hokkaido","J. Seki","I. Shimizu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seki, J., Shimizu, I., 1998. Diel migration of zooplankton and feeding behavior of juvenile chum salmon in the central Pacific coast of Hokkaido. Bulletin of the National Salmon Resources Center 1, 13-27. In Japanese: English abstract.",NA,NA,"2019-11-15","Caroline Graham"
50,"1995","Investigation on survival mechanism of juvenile chum salmon during the early sea life in 1994","T. Suzuki","M. Fukuwaka","M. Kawana","K. Ohkuma","J. Seki",NA,NA,NA,NA,NA,NA,"Suzuki, T., Fukuwaka, M., Kawana, M., Ohkuma, K., Seki, J., 1995. Investigation on survival mechanism of juvenile chum salmon during the early sea life in 1994, Salmon Database 3, 59-68. In Japanese.",NA,NA,"2019-11-15","Caroline Graham"
51,"1974","_The feeding of pink salmon in the wintering areas in the Sea of Japan","L. D. Andrievskaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrievskaya, L.D., 1974. The feeding of pink salmon in the wintering areas in the Sea of Japan. Izvestiya TINRO 90, 97-110. In Russian.",NA,"processed in lab","2019-11-15","Caroline Graham"
52,"1970","Feeding of Pacific salmon juveniles in the Sea of Okhotsk","L. D. Andrievskaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrievskaya, L.D., 1970. Feeding of Pacific salmon juveniles in the Sea of Okhotsk. Izvestiya TINRO 78, 105-115. In Russian.",NA,"processed in lab","2019-11-15","Caroline Graham"
53,"1994","Distribution and feeding of the Chinook salmon (Oncorhynchus tschawytscha) in the northwest Pacific","V. I. Chuchukalo","A. F. Volkov","A. Ya. Efimkin","A. I. Blagoderov",NA,NA,NA,NA,NA,NA,NA,"Chuchukalo, V.I., Volkov, A.F., Efimkin, A.Y., Blagoderov, A.I., 1994. Distribution and feeding of the Chinook salmon (Oncorhynchus tschawytscha) in the northwest Pacific, Izvestiya TINRO, 137-141. In Russian. ",NA,"processed in field","2019-11-15","Caroline Graham"
54,"1996","Food and feeding habits of juvenile pink and chum salmons in the epipelagic zone of the Okhotsk Sea in winter","K. M. Gorbatenko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gorbatenko, K.M., 1996. Food and feeding habits of juvenile pink and chum salmons in the epipelagic zone of the Okhotsk Sea in winter. Izvestiya TINRO 199, 234-243. In Russian.",NA,"processed in lab","2019-11-15","Caroline Graham"
55,"1993","Feeding peculiarities and interrelationships between juvenile salmon in coastal waters of Etorofu Island","A. M. Kayev","V. M. Chupakhin","N. A. Fedotova",NA,NA,NA,NA,NA,NA,NA,NA,"Kayev, A.M., Chupakhin, V.M., Fedotova, N.A., 1993. Feeding peculiarities and interrelationships between juvenile salmons in coastal waters of the Etorofu Island. Voprosy Ikhtiologii 33, 215-224. In Russian.",NA,"processed in lab","2019-11-15","Caroline Graham"
56,"2002","Ecological consequences of large-scale propagation of chum salmon (Oncorhynchus keta)","N. V. Klovatch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klovatch, N. V, 2002. Ecological consequences of large-scale propagation of chum salmon (Oncorhynchus keta). VNIRO, PhD extended summary. In Russian.",NA,NA,"2019-11-15","Caroline Graham"
57,"1982","Some features of the ecology of young Sakhalin and Iturup pink salmon Oncorhynchus gorbuscha (Walbaum) (Salmonidae) during marine period of life","A. P. Shershnev","V. M. Chupahin","V. A. Rudnev",NA,NA,NA,NA,NA,NA,NA,NA,"Shershnev, A.P., Chupakhin, V.M., Rudnev, V.A., 1982. Some features of the ecology of young Sakhalin and Iturup pink salmon Oncorhynchus gorbuscha (Walbaum) (Salmonidae) during marine period of life. Voprosy Ikhtiologii 22 (3), 441-448. In Russian.",NA,"processed in lab","2019-11-15","Caroline Graham"
58,"1992","The feeding of genus Oncorhynchus Pacific salmons in the North Pacific during the winter-spring period","B. G. Tutubalin","V. I. Chuchukalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tutubalin, B.G., Chuchukalo, V.I., 1992. Feeding habits of Pacific salmon of the genus Oncorhynchus in the northern Pacific Ocean in the winter and spring. Biological Resources of the Pacific Ocean, VNIRO, Moscow, Russia, 77-85. In Russian.",NA,"processed in field","2019-11-15","Caroline Graham"
59,"1996","Food and feeding habits of young Pacific salmon in the Okhotsk Sea during the autumn-winter period","A. F. Volkov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volkov, A.F., 1996. Food and feeding habits of young Pacific salmon in the Okhotsk Sea during the autumn-winter period. Okeanologiya 36(1), 80-85. In Russian.",NA,"processed in field","2019-11-15","Caroline Graham"
60,"1994","Food and feeding habits of pink, chum and sockeye salmon during their anadromous migrations","A. F. Volkov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volkov, A.F., 1994. Food and feeding habits of pink, chum and sockeye salmon during their anadromous migrations. Izvestiya TINRO 116, 128-137. In Russian.","Sites in the littoral zone were excluded because they fell within the Riverine Coastal Domain","processed in field","2019-11-15","Caroline Graham"
61,"1966","Report on research by Japan for the International North Pacific Fisheries Commission during the year 1965","Fishery Agency of Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fisheries Agency of Japan. 1966. Report on research by Japan for the International North Pacific Fisheries Commission during the year 1965. International North Pacific Fisheries Commission Annual Report 1965, 42-55.",NA,NA,"2019-06-24","Caroline Graham"
62,"1990","U.S.-Japan cooperative high seas salmonid research in 1990: Summary of research aboard the Japanese research vessel Hokuho Maru, 4 June to 19 July","Davis, N. D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Davis, N.D. U.S.-Japan cooperative high seas salmonid research in 1990: Summary of research aboard the Japanese research vessel Hokuho Maru, 4 June to 19 July. (INPFC Doc.) FRI-UW-9010. Fisheries Research Institute, University of Washington, Seattle, 24 pp.",NA,"processed in field, visual estimates of percent volume","2019-06-24","Caroline Graham"
